| TOTAL     | BOOK 1    | BOOK 2    | WORD     | 
| ORDER     | ORDER     | ORDER     | ORDER    | 
| FREQUENCY | FREQUENCY | FREQUENCY | SEQUENCE | 
------------------------------------------------ 
     51     |      33   |     18    |   idea 
     51     |      29   |     22    |   foot 
     51     |      40   |     11    |   wont 
     51     |      30   |     21    |    sky 
     51     |       2   |     49    |carriage 
     51     |      41   |     10    |surface 
     51     |       2   |     49    |   bank 
     51     |      51   |      0    | indian 
     51     |      51   |      0    |  mates 
     51     |      51   |      0    |tashtego 
     50     |      39   |     11    |   calm 
     50     |      48   |      2    |   cook 
     50     |      49   |      1    |  craft 
     50     |      48   |      2    | savage 
     50     |      33   |     17    |company 
     50     |      20   |     30    | raised 
     50     |      32   |     18    |drawing 
     50     |       4   |     46    |   road 
     50     |      50   |      0    |  ivory 
     49     |      35   |     14    |   pipe 
     49     |       9   |     40    |fountain 
     49     |      37   |     12    |    hat 
     49     |      35   |     14    |   easy 
     49     |      38   |     11    |  sharp 
     49     |      26   |     23    |   ears 
     49     |       9   |     40    |  crowd 
     49     |       6   |     43    | walked 
     49     |      20   |     29    | golden 
     49     |      41   |      8    |   pull 
     49     |      49   |      0    |pequods 
     49     |       0   |     49    |antoine 
     48     |      43   |      5    |  parts 
     48     |      35   |     13    |  start 
     48     |      36   |     12    |leaving 
     48     |      37   |     11    |  fixed 
     48     |      18   |     30    |  bring 
     48     |      26   |     22    |  fancy 
     48     |      17   |     31    |evening 
     48     |      15   |     33    | shadow 
     48     |      11   |     37    | horses 
     48     |      48   |      0    |   bows 
     47     |      32   |     15    | strike 
     47     |      44   |      3    |  bones 
     47     |      45   |      2    | vessel 
     47     |      41   |      6    |    art 
     47     |      41   |      6    |   rope 
     47     |      26   |     21    |circumstances 
     47     |      21   |     26    |minutes 
     47     |      23   |     24    |passing 
     47     |      31   |     16    |   nose 
     47     |      25   |     22    |foundation 
     47     |      47   |      0    | mighty 
     46     |      12   |     34    |   hill 
     46     |      29   |     17    |   vain 
     46     |      11   |     35    |   care 
     46     |      37   |      9    |   boys 
     46     |      13   |     33    |fingers 
     46     |      18   |     28    |understand 
     46     |       0   |     46    |evrémonde 
     45     |      24   |     21    | united 
     45     |      12   |     33    | letter 
     45     |      40   |      5    |   wake 
     45     |      29   |     16    | steady 
     45     |      26   |     19    | silent 
     45     |      36   |      9    |   legs 
     45     |      35   |     10    | middle 
     45     |      35   |     10    |holding 
     45     |      31   |     14    |  lines 
     45     |      10   |     35    |fathers 
     45     |       1   |     44    |knitting 
     45     |       0   |     45    | mender 
     44     |      31   |     13    |   wood 
     44     |       9   |     35    | public 
     44     |      37   |      7    |creatures 
     44     |      24   |     20    | thrown 
     44     |      42   |      2    |   nigh 
     44     |      11   |     33    | family 
     44     |      34   |     10    |   sign 
     44     |       3   |     41    |  coach 
     44     |      36   |      8    |unknown 
     44     |      43   |      1    |captains 
     44     |       9   |     35    |tomorrow 
     44     |      44   |      0    |  spout 
     43     |      41   |      2    |   gods 
     43     |      38   |      5    |    bow 
     43     |      34   |      9    |   shot 
     43     |      22   |     21    |  lives 
     43     |      31   |     12    |  chief 
     43     |      23   |     20    |  drawn 
     43     |      26   |     17    |started 
